                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.336,                 1.0336,                 1.1476,                0.92096,                0.89053,                0.94246,                0.59593,                 1.2796,                0.68136,                 1.1421,             0.00055386,             0.00055386,             0.00055386
                      2,                  1.291,                 0.7773,                 1.1181,                0.92044,                0.86959,                0.93646,                0.59535,                 1.2603,                0.69071,                 1.1376,              0.0010876,              0.0010876,              0.0010876
                      3,                 1.2943,                0.78175,                 1.1337,                0.91379,                0.88572,                0.93933,                0.60566,                 1.2549,                0.66675,                 1.1447,              0.0015993,              0.0015993,              0.0015993
                      4,                 1.2749,                0.73977,                 1.1188,                0.92557,                 0.8857,                0.94229,                0.61534,                 1.2361,                0.65865,                  1.138,               0.001568,               0.001568,               0.001568
                      5,                 1.2528,                0.70455,                 1.1104,                0.91639,                  0.913,                0.95257,                0.63127,                 1.2044,                0.61518,                 1.1196,               0.001535,               0.001535,               0.001535
                      6,                 1.2429,                0.67489,                 1.1044,                0.91917,                0.89395,                0.95164,                 0.6244,                 1.2214,                0.61094,                 1.1257,               0.001502,               0.001502,               0.001502
                      7,                 1.2297,                0.66351,                 1.0957,                0.92947,                0.90699,                0.95664,                0.62944,                 1.2137,                0.57865,                 1.1137,               0.001469,               0.001469,               0.001469
                      8,                 1.2168,                0.64016,                 1.0889,                0.92939,                0.91465,                0.96133,                0.63765,                 1.1899,                0.54772,                 1.1035,               0.001436,               0.001436,               0.001436
                      9,                 1.1972,                0.62872,                 1.0817,                0.93335,                0.91982,                0.96261,                0.63683,                 1.2043,                0.55021,                 1.1099,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1889,                0.60825,                 1.0792,                0.93013,                0.91726,                0.95614,                0.64259,                 1.1748,                0.55321,                 1.1007,              0.0013699,              0.0013699,              0.0013699
                     11,                  1.185,                0.60213,                 1.0777,                0.92909,                0.91737,                0.95809,                0.63747,                 1.1861,                0.54263,                 1.0998,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1743,                0.59496,                 1.0705,                0.93263,                0.92542,                0.95966,                0.65108,                 1.1828,                0.53435,                 1.1052,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1714,                0.58802,                 1.0708,                0.93454,                0.92563,                0.96374,                0.65083,                 1.1771,                 0.5275,                 1.0983,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1605,                0.58239,                  1.064,                0.93389,                0.92484,                0.96663,                0.65608,                 1.1698,                0.51855,                 1.0992,              0.0012379,              0.0012379,              0.0012379
