epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,154.495,1.52894,1.78073,1.44497,0.57269,0.18881,0.22015,0.09869,1.84863,2.36594,1.8471,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931
2,293.712,1.42974,1.18856,1.31717,0.57093,0.25437,0.25247,0.11737,1.99344,2.45237,1.98655,0.0199831,0.00666102,0.0199831,0.00666102,0.0199831,0.00666102,0.0199831,0.00666102
3,414.852,1.48897,1.30492,1.35156,0.4172,0.16063,0.12929,0.04513,2.25828,3.07128,2.24495,0.0299586,0.00998622,0.0299586,0.00998622,0.0299586,0.00998622,0.0299586,0.00998622
4,535.312,1.49946,1.33365,1.38038,0.47602,0.24277,0.20533,0.09069,2.04069,2.57835,2.1119,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,655.678,1.45515,1.24637,1.35441,0.50647,0.24771,0.22753,0.10565,1.95671,2.51697,2.01554,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,775.837,1.43188,1.20206,1.3399,0.54034,0.24738,0.21965,0.10497,1.93874,2.46257,2.01536,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,894.932,1.41106,1.15801,1.32743,0.50999,0.34126,0.31101,0.14716,1.79377,2.23452,1.85929,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1014.31,1.3917,1.12286,1.31417,0.51102,0.30444,0.29932,0.15077,1.78427,2.2217,1.89042,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1132.96,1.37579,1.0928,1.30268,0.59115,0.32702,0.34475,0.18146,1.75754,2.04994,1.83392,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1251.77,1.35653,1.06379,1.29146,0.52687,0.36696,0.39205,0.19818,1.72886,1.96891,1.78645,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1370.32,1.3422,1.0418,1.28206,0.45446,0.36722,0.3479,0.17995,1.73886,2.02107,1.8056,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1489.48,1.3299,1.01339,1.27131,0.57341,0.37509,0.37982,0.1852,1.70958,1.93785,1.76186,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1608.32,1.32053,0.99386,1.2644,0.54706,0.39266,0.39861,0.20683,1.64533,1.7747,1.70932,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1726.9,1.31664,0.98473,1.26432,0.57771,0.41513,0.42869,0.22262,1.64739,1.82467,1.70864,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,1845.81,1.30871,0.98217,1.2596,0.54139,0.39335,0.41017,0.21978,1.63309,1.78251,1.68782,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,1965.09,1.30164,0.96829,1.25456,0.65939,0.40771,0.43152,0.23403,1.61933,1.67936,1.67247,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
